X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.03932E-05;-0.007349211;;1.03932E-05;9.343408605
1.03942E-05;-0.007349211;;1.03942E-05;9.340068055
1.03952E-05;-0.007349211;;1.03952E-05;9.336727504
1.03962E-05;-0.007349211;;1.03962E-05;9.333386954
1.03972E-05;-0.007349212;;1.03972E-05;9.330046403
1.03982E-05;-0.007349212;;1.03982E-05;9.326705852
1.03992E-05;-0.007349212;;1.03992E-05;9.323365301
1.04002E-05;-0.007349212;;1.04002E-05;9.32002475
1.04012E-05;-0.007349212;;1.04012E-05;9.3166842
1.04022E-05;-0.007349212;;1.04022E-05;9.313343649
1.04032E-05;-0.007349212;;1.04032E-05;9.310003098
1.04042E-05;-0.007349212;;1.04042E-05;9.306662547
1.04052E-05;-0.007349212;;1.04052E-05;9.303321996
1.04062E-05;-0.007349212;;1.04062E-05;9.299981444
1.04072E-05;-0.007349213;;1.04072E-05;9.296640893
1.04082E-05;-0.007349213;;1.04082E-05;9.293300342
1.04092E-05;-0.007349213;;1.04092E-05;9.289959791
1.04102E-05;-0.007349213;;1.04102E-05;9.28661924
1.04112E-05;-0.007349213;;1.04112E-05;9.283278688
1.04122E-05;-0.007349213;;1.04122E-05;9.279938137
1.04132E-05;-0.007349213;;1.04132E-05;9.276597586
1.04142E-05;-0.007349213;;1.04142E-05;9.273257035
1.04152E-05;-0.007349213;;1.04152E-05;9.269916483
1.04162E-05;-0.007349213;;1.04162E-05;9.266575932
1.04172E-05;-0.007349213;;1.04172E-05;9.263235381
1.04182E-05;-0.007349213;;1.04182E-05;9.259894829
1.04192E-05;-0.007349213;;1.04192E-05;9.256554278
1.04202E-05;-0.007349213;;1.04202E-05;9.253213726
1.04212E-05;-0.007349213;;1.04212E-05;9.249873175
1.04222E-05;-0.007349213;;1.04222E-05;9.246532624
1.04232E-05;-0.007349213;;1.04232E-05;9.243192072
1.04242E-05;-0.007349213;;1.04242E-05;9.239851521
1.04252E-05;-0.007349213;;1.04252E-05;9.236510969
1.04262E-05;-0.007349213;;1.04262E-05;9.233170418
1.04272E-05;-0.007349213;;1.04272E-05;9.229829866
1.04282E-05;-0.007349213;;1.04282E-05;9.226489315
1.04292E-05;-0.007349213;;1.04292E-05;9.223148764
1.04302E-05;-0.007349213;;1.04302E-05;9.219808212
1.04312E-05;-0.007349213;;1.04312E-05;9.216467661
1.04322E-05;-0.007349213;;1.04322E-05;9.213127109
1.04332E-05;-0.007349213;;1.04332E-05;9.209786558
1.04342E-05;-0.007349213;;1.04342E-05;9.206446007
1.04352E-05;-0.007349213;;1.04352E-05;9.203105455
1.04362E-05;-0.007349213;;1.04362E-05;9.199764904
1.04372E-05;-0.007349213;;1.04372E-05;9.196424353
1.04382E-05;-0.007349213;;1.04382E-05;9.193083801
